CONTRACT,MATURITY,QUANTITY
AEX,201704,0
AUD,201706,0
BOBL,201706,3
BTP,201706,-1
BUND,201706,0
CAC,201704,1
COPPER,201706,0
CORN,201712,-1
CRUDE_W,201712,-1
EDOLLAR,202003,-1
EUR,201706,0
EUROSTX,201706,1
GAS_US,201705,-1
GBP,201706,-2
GOLD,201706,-1
JPY,201706,-1
KOSPI,201706,0
KR10,201703,-3
KR3,201703,-4
LEANHOG,201706,1
LIVECOW,201710,0
MXP,201706,3
NASDAQ,201706,1
NZD,201706,0
OAT,201706,0
PALLAD,201706,0
PLAT,201704,0
SMI,201706,0
SOYBEAN,201711,0
SP500,201706,0
US10,201706,0
US2,201706,4
US20,201706,-1
US5,201706,0
V2X,201705,-12
VIX,201705,-3
WHEAT,201712,-2
